Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;81;Ghana;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3000;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;84;Grèce;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3373;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;86;Grenade;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2364;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;89;Guatemala;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2547;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;90;Guinée;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2731;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;175;Guinée-Bissau;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2233;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;91;Guyana;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2855;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;93;Haïti;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2157;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;95;Honduras;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2658;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;97;Hongrie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3290;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;25;Îles Salomon;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2406;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;100;Inde;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2531;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;101;Indonésie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2883;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;102;Iran (République islamique d');664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3083;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;103;Iraq;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2601;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;104;Irlande;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3835;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;99;Islande;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3652;Fc;Donnée calculée
